X_Freq_Hz;Y_Ampl_dBc_Hz
181.970078;-122.621788
184.07724;-122.65625
186.20871;-122.904503
188.364944;-123.237617
190.546066;-123.377563
192.752533;-123.40918
194.984436;-123.371239
197.24231;-123.327515
199.526215;-123.326202
201.83667;-123.382828
204.173767;-123.479591
206.53804;-123.626404
208.929581;-123.761627
211.348923;-123.879646
213.796173;-124.021355
216.271866;-124.142723
218.776123;-124.203026
221.309479;-124.191978
223.87207;-124.184853
226.464447;-124.169182
229.086716;-124.112389
231.739471;-124.085983
234.422821;-124.103569
237.137375;-123.988976
239.883362;-123.611252
242.661011;-123.324539
245.470947;-123.308907
248.313293;-123.815773
251.188705;-124.558258
254.09726;-125.11393
257.039642;-125.330933
260.01593;-125.378181
263.026855;-125.356285
266.072479;-125.335037
269.153534;-125.312256
272.270081;-125.286476
275.422913;-125.267921
278.612061;-125.258247
281.838318;-125.264076
285.101776;-125.32132
288.403168;-125.467323
291.742645;-125.599846
295.120941;-125.50502
298.538208;-125.199219
301.995178;-125.105255
305.492035;-125.132263
309.029541;-125.23391
312.607849;-125.344833
316.227753;-125.498428
319.889587;-125.650848
323.593658;-125.80088
327.340759;-125.931938
331.131104;-126.042793
334.965515;-126.117867
338.844147;-126.177086
342.767853;-126.178833
346.736816;-126.165337
350.751923;-126.110847
354.813354;-126.057487
358.921997;-126.005119
363.078003;-126.019661
367.282349;-126.071053
371.535187;-126.203285
375.837433;-126.382072
380.189331;-126.584557
384.591827;-126.78537
389.045074;-126.956596
393.55011;-127.100471
398.107086;-127.164558
402.717041;-127.160187
407.380188;-127.090431
412.097534;-126.914879
416.869263;-126.731247
421.696503;-126.575706
426.57962;-126.515068
431.519073;-126.613785
436.51593;-126.797516
441.570435;-127.040833
446.683685;-127.277649
451.855927;-127.434311
457.088287;-127.517921
462.380981;-127.529869
467.735229;-127.475937
473.151215;-127.368584
478.630157;-127.265594
484.172302;-127.212151
489.77887;-127.247604
495.450104;-127.395287
501.187286;-127.636726
506.990631;-127.876358
512.86145;-128.054779
518.799927;-128.144928
524.807495;-128.134201
530.884338;-128.024551
537.031799;-127.845406
543.250183;-127.676575
549.540894;-127.632278
555.904114;-127.788956
562.341309;-128.091583
568.853088;-128.395706
575.439941;-128.590118
582.103333;-128.648834
588.843628;-128.588608
595.662292;-128.402237
602.55957;-128.210739
609.536987;-128.123779
616.594971;-128.218887
623.734924;-128.460281
630.957275;-128.734222
638.263611;-128.942184
645.654114;-129.044434
653.130615;-129.028702
660.693359;-128.904343
668.343994;-128.708481
676.082886;-128.762085
683.911682;-128.978241
691.830811;-129.210388
699.842041;-129.375076
707.945618;-129.469727
716.143433;-129.56131
724.435791;-129.639694
732.824524;-129.671875
741.310059;-129.69191
749.894226;-129.745667
758.577759;-129.845352
767.36145;-129.915771
776.247314;-129.932098
785.235596;-129.85112
794.32843;-129.803268
803.526062;-129.846649
812.830688;-129.961365
822.242554;-130.02684
831.763916;-130.046951
841.39502;-130.00972
851.138184;-130.049622
860.993652;-130.21814
870.963684;-130.416534
881.048767;-130.552582
891.251038;-130.58551
901.570984;-130.510925
912.010925;-130.43808
922.571228;-130.458725
933.254333;-130.492859
944.060669;-130.54512
954.992615;-130.675888
966.050659;-130.831696
977.237244;-130.946289
988.552856;-131.015228
1000.0;-130.995758
1011.579712;-131.041626
1023.292969;-131.084869
1035.142456;-131.125626
1047.12854;-131.168091
1059.253906;-131.211578
1071.519287;-131.259995
1083.927124;-131.312256
1096.478149;-131.369171
1109.175049;-131.436295
1122.018311;-131.50798
1135.010986;-131.587601
1148.153442;-131.6642
1161.44873;-131.735794
1174.897339;-131.784637
1188.502319;-131.811935
1202.264282;-131.823792
1216.186157;-131.820862
1230.268555;-131.826126
1244.514648;-131.841843
1258.925171;-131.878204
1273.503174;-131.929932
1288.249268;-131.984787
1303.166748;-132.038986
1318.256348;-132.085434
1333.521484;-132.130524
1348.963257;-132.178024
1364.58313;-132.230667
1380.384644;-132.290482
1396.368286;-132.350586
1412.537842;-132.406754
1428.893921;-132.456223
1445.440063;-132.49678
1462.177002;-132.522034
1479.108643;-132.522629
1496.235474;-132.492859
1513.561523;-132.438583
1531.08728;-132.380783
1548.816772;-132.35379
1566.750854;-132.391357
1584.893311;-132.505249
1603.245117;-132.651123
1621.810181;-132.792023
1640.589478;-132.908768
1659.587036;-133.001251
1678.803589;-133.080704
1698.243774;-133.161072
1717.907959;-133.253128
1737.800903;-133.359512
1757.923096;-133.471161
1778.279419;-133.53595
1798.871338;-133.621262
1819.700806;-133.678375
1840.772461;-133.718216
1862.087036;-133.771194
1883.649536;-133.826065
1905.460571;-133.866531
1927.525269;-133.909317
1949.844482;-133.946884
1972.423096;-133.972412
1995.262085;-133.989624
2018.366699;-134.011765
2041.737671;-134.049835
2065.380371;-134.133392
2089.295898;-134.221512
2113.489258;-134.272781
2137.96167;-134.313492
2162.71875;-134.340302
2187.76123;-134.366211
2213.094971;-134.410019
2238.720703;-134.463806
2264.644287;-134.530273
2290.867188;-134.624802
2317.394775;-134.693542
2344.228271;-134.7229
2371.373779;-134.755417
2398.833496;-134.774948
2426.610107;-134.772446
2454.709473;-134.698471
2483.133057;-134.475357
2511.886963;-134.125504
2540.972656;-133.965485
2570.39624;-134.250504
2600.159424;-134.713776
2630.268555;-135.015335
2660.724854;-135.124023
2691.535156;-135.102371
2722.700928;-135.052765
2754.229004;-135.051102
2786.12085;-135.12645
2818.383301;-135.252701
2851.017822;-135.34903
2884.031738;-135.38591
2917.426514;-135.439835
2951.209473;-135.521423
2985.38208;-135.607285
3019.951904;-135.447021
3054.92041;-135.468933
3090.29541;-135.485809
3126.078613;-135.502747
3162.277588;-135.520752
3198.895996;-135.541565
3235.936523;-135.568726
3273.407715;-135.600174
3311.311035;-135.636185
3349.655029;-135.669693
3388.441406;-135.702103
3427.678467;-135.679596
3467.368164;-135.600098
3507.519287;-135.329559
3548.133545;-134.808426
3589.219971;-134.066605
3630.780029;-133.057373
3672.823486;-132.053162
3715.351807;-131.174042
3758.374512;-130.624222
3801.893311;-130.303467
3845.918213;-130.54895
3890.450684;-131.129333
3935.500977;-131.993195
3981.070801;-133.214981
4027.17041;-134.372635
4073.801758;-135.426834
4120.975098;-136.012024
4168.692871;-136.332291
4216.964844;-136.488678
4265.796387;-136.553177
4315.19043;-136.5896
4365.15918;-136.605209
4415.704102;-136.600876
4466.836914;-136.57782
4518.559082;-136.56456
4570.882813;-136.572067
4623.80957;-136.603973
4677.352051;-136.659332
4731.512207;-136.72226
4786.301758;-136.780136
4841.723145;-136.831985
4897.789063;-136.877823
4954.500977;-136.917007
5011.873047;-136.93364
5069.90625;-136.890305
5128.614258;-136.766693
5187.999512;-136.581055
5248.074707;-136.393875
5308.843262;-136.286621
5370.318359;-136.318527
5432.501953;-136.483795
5495.408691;-136.707184
5559.041016;-136.892075
5623.413086;-136.986649
5688.530762;-136.948486
5754.399414;-136.612473
5821.033691;-135.729889
5888.436523;-134.345535
5956.622559;-132.699432
6025.595703;-131.872345
6095.370117;-131.820404
6165.949707;-132.528824
6237.349609;-133.786377
6309.572754;-135.175842
6382.635742;-136.230164
6456.541504;-136.786575
6531.306152;-137.014038
6606.933594;-137.099304
6683.439941;-137.109482
6760.828613;-137.055557
6839.117188;-137.008789
6918.308105;-136.967896
6998.42041;-136.932175
