X_Freq_Hz;Y_Ampl_dBc_Hz
181.970078;-138.167282
184.07724;-138.207764
186.20871;-138.397797
188.364944;-138.662399
190.546066;-138.861115
192.752533;-139.057449
194.984436;-139.220261
197.24231;-139.326706
199.526215;-139.383331
201.83667;-139.417847
204.173767;-139.464096
206.53804;-139.633484
208.929581;-139.906097
211.348923;-140.072906
213.796173;-140.162964
216.271866;-140.188522
218.776123;-140.213364
221.309479;-140.275192
223.87207;-140.325226
226.464447;-140.358566
229.086716;-140.341965
231.739471;-140.289505
234.422821;-140.298584
237.137375;-140.464188
239.883362;-140.760666
242.661011;-141.007843
245.470947;-141.384171
248.313293;-141.701508
251.188705;-141.902435
254.09726;-142.052277
257.039642;-142.154938
260.01593;-142.209335
263.026855;-142.257965
266.072479;-142.403137
269.153534;-142.65535
272.270081;-142.817871
275.422913;-142.803055
278.612061;-142.802017
281.838318;-142.875595
285.101776;-142.959946
288.403168;-143.117889
291.742645;-143.437531
295.120941;-143.56044
298.538208;-143.481323
301.995178;-143.544022
305.492035;-143.631927
309.029541;-143.727676
312.607849;-143.826263
316.227753;-143.937698
319.889587;-144.051605
323.593658;-144.170975
327.340759;-144.28569
331.131104;-144.395401
334.965515;-144.494308
338.844147;-144.588379
342.767853;-144.681931
346.736816;-144.778931
350.751923;-144.888458
354.813354;-145.006134
358.921997;-145.130768
363.078003;-145.260437
367.282349;-145.390778
371.535187;-145.522278
375.837433;-145.654617
380.189331;-145.787476
384.591827;-145.920975
389.045074;-146.054947
393.55011;-146.189316
398.107086;-146.323715
402.717041;-146.453873
407.380188;-146.579132
412.097534;-146.690369
416.869263;-146.794189
421.696503;-146.894745
426.57962;-146.996841
431.519073;-147.103699
436.51593;-147.210068
441.570435;-147.314255
446.683685;-147.413727
451.855927;-147.514084
457.088287;-147.617065
462.380981;-147.722778
467.735229;-147.830154
473.151215;-147.945389
478.630157;-148.076782
484.172302;-148.224823
489.77887;-148.383514
495.450104;-148.539612
501.187286;-148.67543
506.990631;-148.79776
512.86145;-148.91983
518.799927;-149.043991
524.807495;-149.164139
530.884338;-149.270126
537.031799;-149.358307
543.250183;-149.439789
549.540894;-149.535538
555.904114;-149.653809
562.341309;-149.765152
568.853088;-149.8311
575.439941;-149.85144
582.103333;-149.873413
588.843628;-149.949936
595.662292;-150.119934
602.55957;-150.306427
609.536987;-150.48999
616.594971;-150.649994
623.734924;-150.763565
630.957275;-150.811905
638.263611;-150.807953
645.654114;-150.797485
653.130615;-150.82608
660.693359;-150.909409
668.343994;-151.092087
676.082886;-151.268005
683.911682;-151.372314
691.830811;-151.479843
699.842041;-151.589066
707.945618;-151.693741
716.143433;-151.84169
724.435791;-151.955841
732.824524;-151.988571
741.310059;-152.002075
749.894226;-152.047989
758.577759;-152.161011
